,Title of the damage site in English,Include or not (Yes/No),Comment by volunteers,Name of damanged site in Ukrainian on Google Maps,Alternative English name on Google Maps,Also included in the Wikipedia page?,Note on Wikipedia,Type of damanged site,Region,Address ,Geo location,Link to google Maps,Wikipedia - English,Wikipedia - Ukrainian,DBpedia,"Reference to news articles, reports, etc.",Reports by Media,Year of construction,Date of damage,Fundraising amount:,For what:,Website,
10,O.Ya. Usikov Institute for Radiophysics and Electronics of the National Academy of Sciences of Ukraine,Yes,,Інститут радіофізики та електроніки імені О. Я. Усикова НАН України,O.Ya. Usikov Institute for Radiophysics and Electronics National Academy of Sciences of Ukraine,No,,education,Kharkiv region,"Akademika Proskury St, 12, Kharkiv, Kharkiv Oblast, 61085","50.04614806583216, 36.2930594861435",https://maps.app.goo.gl/NR27Px7G2e7XJTm37,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%80%D0%B0%D0%B4%D1%96%D0%BE%D1%84%D1%96%D0%B7%D0%B8%D0%BA%D0%B8_%D1%82%D0%B0_%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D1%96%D0%BA%D0%B8_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%9E._%D0%AF._%D0%A3%D1%81%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1955,2022,~ 115620000 UAH,"Funds are needed to restore windows, radiators, repair roofs, and rebuild the burnt-out laboratory building. In addition to money, we need instruments and equipment for research (generators, oscilloscopes, spectrum analyzers, vector circuit analyzers, etc.).",http://www.ire.kharkov.ua/en/letter-support-2022.html,
11,Institute of Geophysics National Academy of Sciences of Ukraine,Yes,,Інститут геофізики НАН України,Instytut Heofizyky Nan Ukrayiny,No,,education,Kyiv region,"Akademika Palladina Ave, 32, Kyiv, 02000","50.47266114312273, 30.368337211678135",https://maps.app.goo.gl/v4QxFc1oQ8zucs2b9,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%B5%D0%BE%D1%84%D1%96%D0%B7%D0%B8%D0%BA%D0%B8_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%A1._%D0%86._%D0%A1%D1%83%D0%B1%D0%B1%D0%BE%D1%82%D1%96%D0%BD%D0%B0_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1960,not found,~ 2330000 UAH,"The money is needed to rebuild the damaged infrastructure, repair damaged equipment, and purchase new geophysical equipment for the Geomagnetic Observatory Dimer to replace the destroyed and stolen equipment.",http://www.igph.kiev.ua/ukr/,
12,Dmytro Motornyi Tavria State Agrotechnological University,Yes,,Таврійський державний агротехнологічний університет імені Дмитра Моторного,Tavria State Agrotechnological University,No,,education,Zaporizhzhya Region,"Bohdana Khmelnytskoho Ave, 18, Melitopol', Zaporizhia Oblast, 72312","46.84695132245061, 35.37480600998601",https://maps.app.goo.gl/bjTUCsTpuqmpSD9i9,not found,not found,not found,,,1938,not found,~ 7166198 UAH,"To further ensure the organization of the educational process and the stable functioning of the university, there is an urgent need for technical equipment for the temporarily relocated university, including laptops, computers, multifunctional devices (printer, scanner, photocopier), multimedia projectors, interactive whiteboards, and other office equipment. To restore the material base in specialized training laboratories, we need laboratory equipment for machine repair and maintenance, power equipment and stands, processing and food production equipment, machine tools (lathes, milling machines, computer numerical control, etc.), greenhouses, and more. ",http://www.tsatu.edu.ua/,
13,Petro Mohyla Black Sea National University,Yes,,"Чорноморський національний університет імені Петра Могили
",Petro Mohyla Black Sea National University,yes,,education,Mykolaiv region,"корпус №1, 68 Desantnykiv St, 10, Mykolaiv, Mykolaiv Oblast, 54000","46.97244612896242, 32.01732515545933",https://maps.app.goo.gl/nC9Ao3uhdXyoqdsZ8,https://en.wikipedia.org/wiki/Petro_Mohyla_Black_Sea_State_University,https://uk.wikipedia.org/wiki/%D0%A7%D0%BE%D1%80%D0%BD%D0%BE%D0%BC%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%9F%D0%B5%D1%82%D1%80%D0%B0_%D0%9C%D0%BE%D0%B3%D0%B8%D0%BB%D0%B8,dbr:Petro_Mohyla_Black_Sea_State_University ,,,1996,2022-08-17,~ 500000 UAH,"Funding is needed to restore the material and technical base lost as a result of the shelling, namely: Monitor — 40, System unit — 17, Video monitor — 8, Multimedia equipment — 2, TV — 2, Display panel — 5, GIF-LV1 video gastroscope and GIF-LV1 video colonoscope of OLYMPUS endoscopic video system (AXEON).",https://chmnu.edu.ua/zvernennya-rektora-chnu-imeni-petra-mogili-do-koleg-vipusknikiv-metsenativ-i-nebajduzhih-do-mogilyanki/,
14,Kharkiv I. P. Kotlyarevsky National University of Arts,Yes,,Харківський національний університет мистецтв ім. І. П. Котляревського,Kharkivsʹkyy Natsionalʹnyy Universytet Mystetstv Im. I. P. Kotlyarevsʹkoho,No,,education,Kharkiv region,"Konstytutsii Square, 11, Kharkiv, Kharkiv Oblast, 61000","49.991638003423176, 36.23248299574978",https://maps.app.goo.gl/qg1FuC9YumLjoqbs6,https://en.wikipedia.org/wiki/Kharkiv_National_Kotlyarevsky_University_of_Arts,https://uk.wikipedia.org/wiki/%D0%A5%D0%B0%D1%80%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%86%D1%82%D0%B2_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%86%D0%B2%D0%B0%D0%BD%D0%B0_%D0%9A%D0%BE%D1%82%D0%BB%D1%8F%D1%80%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE,dbr:Kharkiv_National_Kotlyarevsky_University_of_Arts,,,1917,not found,,Restoration of two educational buildings and repair of the heating system in the building where 69 grand pianos and a scientific library are kept.,https://num.kharkiv.ua/2160-misteczkij-alyans/,
15,Berdyansk State Pedagogical University,Yes,,Бердянський державний педагогічний університет,Berdyansk State Pedagogical University,No,,education,Zaporizhzhya Region,"Shmidta St, Berdyans'k, Zaporizhia Oblast, 71100","46.75496904115086, 36.786040512066336",https://maps.app.goo.gl/8qzg5LjAnrQxwADn9,not found,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B4%D1%8F%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D0%B9_%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82,not found,,,1932,not found,,"Financial support is needed to develop the capacity of scientists, improve their skills in writing grant applications, build relationships with international partners, and obtain information on technology transfer and commercialization of research",https://bdpu.org.ua/dopopohty-bdpu/proiekt-studentskyy-avtobus-2/,
16,"Vasyliv Historical and Architectural Museum-Reserve ""Sadiba Popov""",Yes,,Садиба Попова,Popov castle,No,,museum,Zaporizhzhya Region,"Haharina St, 12, Vasylivka, Zaporizhia Oblast, 71600","47.44757195968522, 35.27755827985477",https://maps.app.goo.gl/7V1nyQALwZL6z8vA8,https://en.wikipedia.org/wiki/Popov_Manor_House,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%B8%D0%B1%D0%B0_%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B0,dbr:Popov_Manor_House,,,1864-1884,2022-03-07,~ 460110 UAH,"Office equipment is necessary to restore the institution's functioning (document management, reporting, research activities, and the work of funds), namely, computers/laptops, printing and document production (printer, scanner), electronic media, data storage, and Internet access equipment. The institution also needs office furniture (tables, chairs) and lighting. Considering the experience of institutions in the de-occupied territories, devices to ensure primary working conditions (generator, heater) are needed.",https://zor.gov.ua/komunalna-vlasnist/komunalnyy-zaklad-vasylivskyy-istoryko-arhitekturnyy-muzey-zapovidnyk-sadyba,
17,Kherson State University,Yes,,Херсонський державний університет,Kherson State University,No,,education,Kherson region,"Universytets'ka St, 27, Kherson, Kherson Oblast, 73000","46.64659123114595, 32.63463447653722",https://maps.app.goo.gl/Jfop1o11VG7PFcEEA,https://en.wikipedia.org/wiki/Kherson_State_University,https://uk.wikipedia.org/wiki/%D0%A5%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82,dbr:Kherson_State_University,,https://suspilne.media/kherson/715630-dira-v-stini-budivli-zrujnovani-tri-auditorii-rosijska-armia-zavdala-udaru-po-universitetu-hersona/ ,1917,2024-03-28,,"The funds are needed to ensure minimum needs and decent living and learning conditions. For example, to equip kitchens, sanitary and shower rooms, furniture, and beds for the dormitories of students affected by hostile shelling. There is also an urgent need to replace all double-glazed windows in educational buildings and dormitories completely.",https://www.kspu.edu/PublisherReader.aspx?newsId=16360,
18,V. Bakul Institute for Superhard Materials of the National Academy of Sciences of Ukraine,Yes,,Інститут надтвердих матеріалів ім. В.М. Бакуля НАН України,Superhard materials,No,,education,Kyiv region,"Avtozavodska St, 2, Kyiv, 04074","50.50095862184341, 30.468613094091",https://maps.app.goo.gl/cr78jAzmATePDGKd8,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BD%D0%B0%D0%B4%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%B8%D1%85_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D1%96%D0%B0%D0%BB%D1%96%D0%B2_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%92._%D0%9C._%D0%91%D0%B0%D0%BA%D1%83%D0%BB%D1%8F_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1961,2022-03,~ 800000 UAH,Restoration of damaged buildings and windows and funding for developing scientists' capacity,http://www.ism.kiev.ua/,
19,Institute of Climate-Smart Agriculture of the National Academy of Agrarian Sciences of Ukraine (NAAS),Yes,,"Національний науковий центр ""Інститут землеробства Національної академії аграрних наук України""","National Research Center ""Institute of Agriculture of the National Academy of Agrarian Sciences of Ukraine""",No,,education,Kyiv region,"Mashynobudivna St, 2Б, Chabany, Kyiv Oblast, 08163","50.34403452778694, 30.423125402038504",https://maps.app.goo.gl/SmfkJwdT1jEdr88N7,not found,not found,not found,,,1900,not found,~ 88676300 UAH,"To restore the destroyed laboratories and the lost seed stock and to demine the areas. It is now critical to restore laboratories, purchase agricultural and office equipment, and provide scientists with the necessary equipment",https://icsanaas.com.ua/,
20,Institute for Safety Problems of Nuclear Power Plants,Yes,only russian name on google maps,,,No,,education,Kyiv region,"Lysohirska St, 12, Kyiv, 02000","50.38925334891516, 30.53922827975985",https://maps.app.goo.gl/6kGRimYhg7cNqkS66,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D0%BA%D0%B8_%D0%B0%D1%82%D0%BE%D0%BC%D0%BD%D0%B8%D1%85_%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D1%86%D1%96%D0%B9_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1992,2022-05,~ 366627780 UAH,"The funds are needed to recover from the looting, repair broken windows and broken equipment, and fill looted classrooms, laboratories and dormitories",https://www.ispnpp.kiev.ua/chornobyl-nuclear-safety-science-fund/,
21,"State Specialized Enterprise ""Ecocenter""",Yes,,"ДСП ""Екоцентр""",,No,,other,Kyiv region,"Vulytsya Shkilʹna, 4, Chornobyl, Kyiv Oblast, 07270","51.26734321698698, 30.2269827674415",https://maps.app.goo.gl/kW2UQiBoGYoKKRmp6,not found,not found,not found,,,2016,not found,~ 440000000 UAH,"We need equipment to detect radioactive contamination in environmental objects: some of it has been destroyed, some damaged, some stolen",https://eco-centre.com.ua/,
22,Danilevsky Institute for Endocrine Pathology Problems of the National Academy of Medical Sciences of Ukraine,Yes,,ДЕРЖАВНА УСТАНОВА ІНСТИТУТ ПРОБЛЕМ ЕНДОКРИННОЇ ПАТОЛОГІЇ ІМ.В.Я. ДАНИЛЕВСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ,Derzhavna Ustanova Instytut Problem Endokrynnoyi Patolohiyi Im.v.ya. Danylevsʹkoho Natsionalʹnoyi Akademiyi Medychnykh Nauk Ukrayiny,No,,education,Kharkiv region,"Alchevskyh St, 10, Kharkiv, Kharkiv Oblast, 61002","50.00254896451246, 36.241798302591434",https://maps.app.goo.gl/pK1qWM2RToumdqyE8,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%B5%D0%BD%D0%B4%D0%BE%D0%BA%D1%80%D0%B8%D0%BD%D0%BD%D0%BE%D1%97_%D0%BF%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%97_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%92._%D0%AF._%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D0%9D%D0%90%D0%9C%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1919,not found,~ 3478972 UAH,Restoration of equipment and repair of the building,https://www.ipep.com.ua/,
23,Institute for Problems of Cryobiology and Cryomedicine,Yes,,Інститут проблем кріобіології і кріомедицини НАН України,,No,,education,Kharkiv region,"Pereyaslavska St, 23, Kharkiv, Kharkivs'ka oblast, 61015","50.00147619311504, 36.16752229409101",https://maps.app.goo.gl/a6US9gXYN9jArjd66,https://en.wikipedia.org/wiki/NASU_Institute_of_Cryobiology_and_Cryomedicine_Issues,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%BA%D1%80%D1%96%D0%BE%D0%B1%D1%96%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%97_%D1%96_%D0%BA%D1%80%D1%96%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D0%B8_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,dbr:NASU_Institute_of_Cryobiology_and_Cryomedicine_Issues,,,1972,not found,~ 500000 UAH,The funds are needed to repair the building,https://www.cryo.org.ua/,